query-id,query-type,num-runs,time-avg (s),time-min (s),time-max (s),std-dev (s)
query2,DF,20,0.5509,0.347,1.9496,0.4208
query3,SQL,20,0.5724,0.4154,1.1546,0.1799
query1,SQL,20,0.5916,0.3621,2.5168,0.4667
query4,DF,20,13.8389,12.4094,18.7573,1.5336
query1,DF,20,0.5956,0.4111,2.0995,0.3739
query2,SQL,20,0.5276,0.3131,1.9084,0.4173
query3,DF,20,0.6492,0.5094,1.2807,0.1807
