query-id,query-type,num-runs,time-avg (s),time-min (s),time-max (s),std-dev (s)
query3,SQL,20,0.6421,0.4378,2.0692,0.3904
query4,DF,20,14.2317,12.2402,19.5963,1.8416
query1,SQL,20,0.5595,0.3863,2.1059,0.3842
query2,DF,20,0.6514,0.3563,2.1327,0.5543
query1,DF,20,0.5623,0.4347,1.1418,0.1748
query2,SQL,20,0.6184,0.3224,2.7553,0.6354
query3,DF,20,0.7454,0.5433,2.1603,0.3807
