query-id,query-type,num-runs,time-avg (s),time-min (s),time-max (s),std-dev (s)
query2,DF,20,0.5145,0.3373,1.9485,0.3556
query3,SQL,20,0.5887,0.4148,1.3729,0.257
query1,SQL,20,0.5158,0.3813,1.0441,0.167
query4,DF,20,13.8007,12.4984,18.0333,1.4305
query1,DF,20,0.6418,0.4152,2.2627,0.4425
query2,SQL,20,0.4913,0.3175,1.847,0.3361
query3,DF,20,0.6568,0.5289,1.3677,0.1964
